External_Assets,Lent_Funds,Borrowed_Funds,LMI,First_Order_Neighbor_Default_Rate,Loan_Count_Number_of_Creditors,In_Degree_Centrality,Out_Degree_Centrality,Closeness_Centrality,Betweenness_Centrality,PageRank,Average_Indegree_of_In_Neighbors,Basic_Default,y
0.8507462686567164,0.582089552238806,0.6119402985074627,0.5373134328358209,0.4925373134328358,0.582089552238806,0.582089552238806,0.6119402985074627,0.6119402985074627,0.6716417910447762,0.582089552238806,0.7014925373134329,0,0
0.1791044776119403,0.7313432835820896,0.5223880597014925,0.9402985074626866,0.26865671641791045,0.746268656716418,0.746268656716418,0.4925373134328358,0.4925373134328358,0.6865671641791045,0.7313432835820896,0.5522388059701493,1,1
0.5970149253731343,0.3880597014925373,0.3880597014925373,0.47761194029850745,0.8507462686567164,0.3880597014925373,0.3880597014925373,0.40298507462686567,0.373134328358209,0.582089552238806,0.3880597014925373,0.9253731343283582,0,0
0.6268656716417911,0.5522388059701493,0.47761194029850745,0.44776119402985076,0.6417910447761194,0.5671641791044776,0.5671641791044776,0.582089552238806,0.5522388059701493,0.582089552238806,0.5671641791044776,0.746268656716418,0,0
0.6417910447761194,0.31343283582089554,0.6716417910447762,0.22388059701492538,0.582089552238806,0.3582089552238806,0.3582089552238806,0.7761194029850746,0.7761194029850746,0.582089552238806,0.34328358208955223,0.8955223880597015,0,0
0.6567164179104478,0.373134328358209,0.582089552238806,0.3880597014925373,0.7910447761194029,0.3880597014925373,0.3880597014925373,0.582089552238806,0.5522388059701493,0.582089552238806,0.3880597014925373,0.9253731343283582,0,0
0.8208955223880597,0.6567164179104478,0.4925373134328358,0.7611940298507462,0.43283582089552236,0.6567164179104478,0.6567164179104478,0.4925373134328358,0.4925373134328358,0.6268656716417911,0.6119402985074627,0.6716417910447762,0,0
0.8955223880597015,0.6417910447761194,0.9701492537313433,0.29850746268656714,0.3283582089552239,0.6567164179104478,0.6567164179104478,1.0,1.0,0.9253731343283582,0.6567164179104478,0.6716417910447762,0,0
0.47761194029850745,0.26865671641791045,0.44776119402985076,0.373134328358209,0.6716417910447762,0.26865671641791045,0.26865671641791045,0.582089552238806,0.582089552238806,0.582089552238806,0.26865671641791045,0.26865671641791045,0,0
0.5671641791044776,0.26865671641791045,0.5970149253731343,0.2537313432835821,0.5373134328358209,0.26865671641791045,0.26865671641791045,0.6417910447761194,0.6417910447761194,0.582089552238806,0.26865671641791045,0.26865671641791045,0,0
0.4626865671641791,0.26865671641791045,0.6417910447761194,0.19402985074626866,0.5373134328358209,0.26865671641791045,0.26865671641791045,0.6417910447761194,0.6417910447761194,0.582089552238806,0.26865671641791045,0.26865671641791045,0,0
0.08955223880597014,0.8507462686567164,0.05970149253731343,0.04477611940298507,0.2537313432835821,0.9402985074626866,0.9402985074626866,0.05970149253731343,0.05970149253731343,0.582089552238806,0.9402985074626866,0.4925373134328358,0,1
0.6119402985074627,0.26865671641791045,0.5671641791044776,0.3582089552238806,0.6716417910447762,0.26865671641791045,0.26865671641791045,0.582089552238806,0.582089552238806,0.582089552238806,0.26865671641791045,0.26865671641791045,0,0
0.26865671641791045,0.7761194029850746,0.5074626865671642,0.8955223880597015,0.2537313432835821,0.7761194029850746,0.7761194029850746,0.4925373134328358,0.4925373134328358,0.7313432835820896,0.7761194029850746,0.5074626865671642,0,0
0.5223880597014925,0.44776119402985076,0.1791044776119403,0.746268656716418,0.7761194029850746,0.4626865671641791,0.4626865671641791,0.19402985074626866,0.1791044776119403,0.582089552238806,0.4626865671641791,0.8507462686567164,0,0
0.5373134328358209,0.40298507462686567,0.2537313432835821,0.6417910447761194,0.8955223880597015,0.417910447761194,0.417910447761194,0.2537313432835821,0.208955223880597,0.582089552238806,0.417910447761194,0.9552238805970149,0,0
0.7761194029850746,0.26865671641791045,0.13432835820895522,0.7313432835820896,0.9701492537313433,0.26865671641791045,0.26865671641791045,0.13432835820895522,0.13432835820895522,0.582089552238806,0.26865671641791045,0.26865671641791045,0,0
0.3880597014925373,0.26865671641791045,0.19402985074626866,0.5671641791044776,0.8955223880597015,0.26865671641791045,0.26865671641791045,0.19402985074626866,0.22388059701492538,0.582089552238806,0.26865671641791045,0.26865671641791045,0,0
0.2835820895522388,0.26865671641791045,0.11940298507462686,0.6716417910447762,0.7761194029850746,0.26865671641791045,0.26865671641791045,0.11940298507462686,0.11940298507462686,0.582089552238806,0.26865671641791045,0.26865671641791045,0,0
0.7611940298507462,0.26865671641791045,0.373134328358209,0.6119402985074627,0.7761194029850746,0.26865671641791045,0.26865671641791045,0.40298507462686567,0.40298507462686567,0.582089552238806,0.26865671641791045,0.26865671641791045,0,0
0.44776119402985076,0.26865671641791045,0.1044776119402985,0.7164179104477612,0.43283582089552236,0.26865671641791045,0.26865671641791045,0.1044776119402985,0.1044776119402985,0.582089552238806,0.26865671641791045,0.26865671641791045,0,0
0.417910447761194,0.26865671641791045,0.7611940298507462,0.13432835820895522,0.5074626865671642,0.26865671641791045,0.26865671641791045,0.7910447761194029,0.7910447761194029,0.582089552238806,0.26865671641791045,0.26865671641791045,1,1
0.7611940298507462,0.26865671641791045,0.373134328358209,0.6119402985074627,0.7761194029850746,0.26865671641791045,0.26865671641791045,0.40298507462686567,0.40298507462686567,0.582089552238806,0.26865671641791045,0.26865671641791045,0,0
0.31343283582089554,0.26865671641791045,0.34328358208955223,0.417910447761194,0.9104477611940298,0.26865671641791045,0.26865671641791045,0.34328358208955223,0.34328358208955223,0.582089552238806,0.26865671641791045,0.26865671641791045,0,0
0.7014925373134329,0.26865671641791045,0.8059701492537313,0.1791044776119403,0.47761194029850745,0.26865671641791045,0.26865671641791045,0.8059701492537313,0.8059701492537313,0.582089552238806,0.26865671641791045,0.26865671641791045,0,0
0.373134328358209,0.5970149253731343,0.05970149253731343,0.8656716417910447,0.6119402985074627,0.5970149253731343,0.5970149253731343,0.05970149253731343,0.05970149253731343,0.582089552238806,0.5970149253731343,0.6865671641791045,0,0
0.43283582089552236,0.417910447761194,0.16417910447761194,0.6865671641791045,0.8208955223880597,0.417910447761194,0.417910447761194,0.16417910447761194,0.16417910447761194,0.582089552238806,0.417910447761194,0.9552238805970149,0,0
0.34328358208955223,0.26865671641791045,0.3283582089552239,0.43283582089552236,1.0,0.26865671641791045,0.26865671641791045,0.3283582089552239,0.3283582089552239,0.582089552238806,0.26865671641791045,0.26865671641791045,0,0
0.9253731343283582,0.746268656716418,0.6567164179104478,0.7014925373134329,0.3582089552238806,0.746268656716418,0.746268656716418,0.6567164179104478,0.6567164179104478,0.746268656716418,0.746268656716418,0.5522388059701493,0,0
0.5522388059701493,0.43283582089552236,0.2835820895522388,0.582089552238806,0.8656716417910447,0.43283582089552236,0.43283582089552236,0.29850746268656714,0.2835820895522388,0.582089552238806,0.43283582089552236,0.7910447761194029,0,0
0.3283582089552239,0.26865671641791045,0.22388059701492538,0.4925373134328358,0.9552238805970149,0.26865671641791045,0.26865671641791045,0.2537313432835821,0.2537313432835821,0.582089552238806,0.26865671641791045,0.26865671641791045,0,0
1.0,0.9104477611940298,1.0,0.5522388059701493,0.16417910447761194,0.9402985074626866,0.9402985074626866,1.0,1.0,0.9850746268656716,0.9253731343283582,0.3880597014925373,0,0
0.9552238805970149,0.8805970149253731,0.9402985074626866,0.6268656716417911,0.16417910447761194,0.9402985074626866,0.9402985074626866,1.0,1.0,0.9850746268656716,0.9253731343283582,0.3880597014925373,0,0
0.9104477611940298,0.29850746268656714,0.8805970149253731,0.40298507462686567,0.40298507462686567,0.29850746268656714,0.29850746268656714,0.8955223880597015,0.8955223880597015,0.582089552238806,0.29850746268656714,1.0,0,0
0.014925373134328358,1.0,0.05970149253731343,0.05970149253731343,0.19402985074626866,1.0,1.0,0.05970149253731343,0.05970149253731343,0.582089552238806,1.0,0.40298507462686567,0,1
0.9402985074626866,0.7910447761194029,0.746268656716418,0.8059701492537313,0.19402985074626866,0.8208955223880597,0.8208955223880597,0.7761194029850746,0.7761194029850746,0.8208955223880597,0.8208955223880597,0.47761194029850745,0,0
0.05970149253731343,0.9402985074626866,0.7910447761194029,0.08955223880597014,0.04477611940298507,0.9402985074626866,0.9402985074626866,0.7761194029850746,0.7761194029850746,0.8656716417910447,0.8805970149253731,0.3880597014925373,1,1
0.16417910447761194,0.7611940298507462,0.4626865671641791,0.9850746268656716,0.208955223880597,0.7611940298507462,0.7611940298507462,0.4925373134328358,0.4925373134328358,0.7014925373134329,0.7611940298507462,0.5223880597014925,1,1
0.22388059701492538,0.6865671641791045,0.29850746268656714,0.9253731343283582,0.4626865671641791,0.7014925373134329,0.7014925373134329,0.29850746268656714,0.2835820895522388,0.582089552238806,0.7014925373134329,0.6119402985074627,0,0
0.5074626865671642,0.7164179104477612,0.05970149253731343,0.8805970149253731,0.4626865671641791,0.7164179104477612,0.7164179104477612,0.05970149253731343,0.05970149253731343,0.582089552238806,0.7164179104477612,0.5671641791044776,0,0
0.208955223880597,0.4925373134328358,0.08955223880597014,0.9104477611940298,0.7761194029850746,0.5223880597014925,0.5223880597014925,0.08955223880597014,0.08955223880597014,0.582089552238806,0.4925373134328358,0.7761194029850746,0,0
0.1044776119402985,0.835820895522388,0.6268656716417911,0.1044776119402985,0.08955223880597014,0.8507462686567164,0.8507462686567164,0.6119402985074627,0.6119402985074627,0.7611940298507462,0.835820895522388,0.43283582089552236,1,1
0.582089552238806,0.3283582089552239,0.5373134328358209,0.34328358208955223,0.8059701492537313,0.3582089552238806,0.3582089552238806,0.582089552238806,0.5522388059701493,0.582089552238806,0.34328358208955223,0.8955223880597015,0,0
