Node,Initial Risk Probability,Best Risk Probability,Rescue Ratio
0,0.17296218872070312,0.15515147149562836,0.0
1,0.26192358136177063,0.24412472546100616,0.04048638790845871
2,0.20594942569732666,0.18782475590705872,0.042424701154232025
3,0.3896801769733429,0.3807899057865143,0.018251018598675728
4,0.1615583300590515,0.14530575275421143,0.0
5,0.4732709228992462,0.14367617666721344,0.030910639092326164
6,0.2747576832771301,0.2573137581348419,0.0
7,0.42703378200531006,0.4199397563934326,0.0
8,0.4413047730922699,0.434311181306839,0.0
9,0.05992280691862106,0.04295668751001358,0.013407810591161251
10,0.09005117416381836,0.09003815054893494,0.0
11,0.1003674790263176,0.08781871199607849,0.01382850669324398
12,0.38089391589164734,0.37160158157348633,0.018404081463813782
13,0.09776170551776886,0.07243119925260544,0.013675101101398468
14,0.6277849674224854,0.6277813911437988,0.0
15,0.07652214169502258,0.06294988095760345,0.013819316402077675
16,0.0798337310552597,0.07982427626848221,0.0
17,0.06425288319587708,0.04662638530135155,0.013848631642758846
18,0.05600299313664436,0.038816630840301514,0.013170856982469559
19,0.1315348595380783,0.1080833151936531,0.04502108320593834
20,0.06300778687000275,0.047244779765605927,0.026695746928453445
21,0.06049320101737976,0.040188658982515335,0.027383554726839066
22,0.05987019091844559,0.0598643533885479,0.0
23,0.4921739399433136,0.49216321110725403,0.0
24,0.32416561245918274,0.18407584726810455,0.03053957037627697
25,0.24395495653152466,0.17946738004684448,0.030032560229301453
26,0.6373195648193359,0.6373181343078613,0.0
27,0.1009453758597374,0.10093897581100464,0.0
28,0.3404648005962372,0.17293530702590942,0.02829037606716156
29,0.09655683487653732,0.04728953540325165,0.013354301452636719
30,0.38242030143737793,0.3824065327644348,0.0
31,0.5705010294914246,0.23919886350631714,0.015333668328821659
32,0.3177412152290344,0.16827045381069183,0.015560472384095192
33,0.6519713997840881,0.3818390369415283,0.03069182112812996
34,0.4360427260398865,0.38580602407455444,0.004661696031689644
35,0.2629222869873047,0.24525408446788788,0.0
36,0.543464183807373,0.543464183807373,0.0
37,0.09182446449995041,0.09181161224842072,0.0
38,0.7561612725257874,0.5335533618927002,0.014877724461257458
39,0.3971530795097351,0.39713913202285767,0.0
40,0.6680193543434143,0.34360775351524353,0.014850573614239693
41,0.7119938731193542,0.7119935750961304,0.0
42,0.21779853105545044,0.21779586374759674,0.0
43,0.45294708013534546,0.4465980529785156,0.034668415784835815
44,0.15676121413707733,0.15140436589717865,0.0
45,0.6135485768318176,0.49000513553619385,0.015834975987672806
46,0.6885590553283691,0.38206619024276733,0.015023703686892986
47,0.22620359063148499,0.22620084881782532,0.0
48,0.11770305037498474,0.11770160496234894,0.0
49,0.06730663031339645,0.027115415781736374,0.013036638498306274
50,0.5436629056930542,0.5436629056930542,0.0
51,0.5383957624435425,0.5224096179008484,0.015725435689091682
52,0.4547344148159027,0.2102336287498474,0.014890463091433048
53,0.5240271687507629,0.32807081937789917,0.04568685591220856
54,0.16879837214946747,0.08966811001300812,0.026773439720273018
55,0.6531614065170288,0.653160572052002,0.0
56,0.23507139086723328,0.2350711077451706,0.041866011917591095
57,0.5369071960449219,0.4838950037956238,0.04779408127069473
58,0.5463983416557312,0.5463971495628357,0.0
59,0.11806973814964294,0.06289315968751907,0.013301659375429153
60,0.22488844394683838,0.1283799260854721,0.029315711930394173
61,0.38869336247444153,0.38869261741638184,0.0
62,0.5250138640403748,0.5250138640403748,0.0
63,0.6303642988204956,0.6303613185882568,0.0
64,0.5402778387069702,0.5402778387069702,0.0
65,0.13036499917507172,0.0919041559100151,0.02748321369290352
66,0.6654654145240784,0.3510044515132904,0.04324014112353325
67,0.5805932879447937,0.5805920958518982,0.0
68,0.5386828184127808,0.4932418763637543,0.01570723205804825
69,0.11734741181135178,0.052995648235082626,0.05188704654574394
70,0.389680415391922,0.3807898461818695,0.018244776874780655
0,0.17296218872070312,0.06619074940681458,0.046894390136003494
1,0.26192358136177063,0.13987936079502106,0.023466678336262703
2,0.20594942569732666,0.09092718362808228,0.0
3,0.3896801769733429,0.29502663016319275,0.0
4,0.1615583300590515,0.16062471270561218,0.0
5,0.4732709228992462,0.15036681294441223,0.03160129487514496
6,0.2747576832771301,0.1531199812889099,0.0
7,0.42703378200531006,0.346676230430603,0.01840047352015972
8,0.4413047730922699,0.3676474094390869,0.01812552846968174
9,0.05992280691862106,0.0598929226398468,0.0
10,0.09005117416381836,0.032786156982183456,0.02807733602821827
11,0.1003674790263176,0.08619586378335953,0.028467029333114624
12,0.38089391589164734,0.2822759747505188,0.03997277468442917
13,0.09776170551776886,0.07197363674640656,0.014095759019255638
